#,Flag,Country,office held by head of government,head of government,office held by head of state,head of state,Link
53,🇬🇶,Equatorial Guinea,Prime Minister of Equatorial Guinea,Manuela Roka,President of Equatorial Guinea,Teodoro Obiang,
54,🇪🇷,Eritrea,President of Eritrea,Isaías Fortis,President of Eritrea,Isaías Fortis,
55,🇪🇪,Estonia,Prime Minister of Estonia,Kaja Kallas,President of Estonia,Alar Karis,
56,🇪🇹,Ethiopia,Prime Minister of Ethiopia,Abiy Ahmed Ali,President of Ethiopia,Sahle-Work Zewde,
57,🇫🇲,Federated States of Micronesia,President of the Federated States of Micronesia,Wesley Simina,President of the Federated States of Micronesia,Wesley Simina,
58,🇫🇯,Fiji,Prime Minister of Fiji,Sitiveni Rabuka,President of Fiji,Wiliame Katonivere,
59,🇫🇮,Finland,Prime Minister of Finland,Petteri Orpo,President of Finland,Alexander Stubb,
60,🇫🇷,France,Prime Minister of France,Michel Barnier,President of the French Republic,Emmanuel Macron,
61,🇬🇦,Gabon,Prime Minister of Gabon,Raymond Ndong Sima,President of Gabon,Ali Bongo Ondimba,
62,🇬🇪,Georgia,Prime Minister of Georgia,Irakli Kobakhidze,President of Georgia,Salome Zourabichvili,
63,🇩🇪,Germany,Federal Chancellor of Germany,Olaf Scholz,president of Germany,Frank-Walter Steinmeier,
64,🇬🇭,Ghana,President of Ghana,Nana Akufo-Addo,President of Ghana,Nana Akufo-Addo,
65,🇬🇷,Greece,Prime Minister of Greece,Kyriakos Mitsotakis,President of Greece,Katerina Sakellaropoulou,
66,🇬🇩,Grenada,Prime Minister of Grenada,Keith Mitchell,monarch of Grenada,Charles III of the United Kingdom,
67,🇬🇹,Guatemala,President of the Republic of Guatemala,Bernardo Arévalo de León,President of the Republic of Guatemala,Bernardo Arévalo de León,
68,🇬🇳,Guinea,Prime Minister of Guinea,Bah Oury,President of Guinea,Mamady Doumbouya,
69,🇬🇼,Guinea-Bissau,Prime Minister of Guinea-Bissau,Nuno Nabiam,President of Guinea-Bissau,Umaro Sissoco Embaló,
70,🇬🇾,Guyana,Prime Minister of Guyana,Mark Phillips,President of Guyana,Irfaan Ali,
71,🇭🇳,Honduras,President of Honduras,Xiomara Castro,President of Honduras,Xiomara Castro,
72,🇭🇺,Hungary,Prime Minister of Hungary,Viktor Orbán,President of Hungary,Tamás Sulyok,
73,🇮🇸,Iceland,Prime Minister of Iceland,Bjarni Benediktsson,President of Iceland,Halla Tómasdóttir,
74,🇮🇳,India,Prime Minister of India,Narendra Modi,President of India,Droupadi Murmu,
75,🇮🇩,Indonesia,President of Indonesia,Joko Widodo,President of Indonesia,Joko Widodo,
76,🇮🇷,Iran,President of Iran,Masoud Pezeshkian,Supreme Leader of Iran,Ali Khamenei,
77,🇮🇶,Iraq,Prime Minister of Iraq,Mohammed Shia' Al Sudani,President of Iraq,Abdul Latif Rashid,
78,🇮🇪,Ireland,Taoiseach,Leo Varadkar,President of Ireland,Michael D. Higgins,
79,🇮🇱,Israel,Prime Minister of Israel,Benjamin Netanyahu,President of Israel,Isaac Herzog,
80,🇮🇹,Italy,Prime Minister of Italy,Giorgia Meloni,President of Italy,Sergio Mattarella,
81,🇨🇮,Ivory Coast,Prime Minister of Ivory Coast,Robert Beugré Mambé,President of the Ivory Coast,Alassane Ouattara,
82,🇯🇲,Jamaica,Prime Minister of Jamaica,Andrew Holness,"monarch of Jamaica
Governor-General of Jamaica",Charles III of the United Kingdom,
83,🇯🇵,Japan,Prime Minister of Japan,Shigeru Ishiba,Emperor of Japan,Naruhito,
84,🇯🇴,Jordan,Prime Minister of Jordan,Bisher Al-Khasawneh,King of Jordan,Abdullah II of Jordan,
85,🇰🇿,Kazakhstan,Prime Minister of Kazakhstan,Älihan Smaiylov,President of Kazakhstan,Kassym-Jomart Tokayev,
86,🇰🇪,Kenya,President of Kenya,William Ruto,President of Kenya,William Ruto,
87,🇩🇰,Kingdom of Denmark,Prime Minister of Denmark,Mette Frederiksen,monarch of Denmark,Frederik X of Denmark,
88,🇳🇱,Kingdom of the Netherlands,Prime Minister of the Netherlands,Mark Rutte,King of the Netherlands,Willem-Alexander of the Netherlands,
89,🇽🇰,Kosovo,Prime Minister of Kosovo,Albin Kurti,President of Kosovo,Vjosa Osmani,
90,🇰🇼,Kuwait,Prime Minister of Kuwait,Sabah Al-Khalid Al-Sabah,emir of Kuwait,Mishal Al-Ahmad Al-Jaber Al-Sabah,
91,🇰🇬,Kyrgyzstan,Prime Minister of Kyrgyzstan,Akylbek Japarov,President of Kyrgyzstan,Sadyr Zhaparov,
92,🇱🇦,Laos,Prime Minister of Laos,Phankham Viphavan,President of Laos,Thongloun Sisoulith,
93,🇱🇻,Latvia,Prime Minister of Latvia,Evika Siliņa,President of Latvia,Edgars Rinkēvičs,
94,🇱🇧,Lebanon,Prime Minister of Lebanon,Najib Mikati,President of Lebanon,No/unknown value,
95,🇱🇸,Lesotho,Prime Minister of Lesotho,Sam Matekane,King of Lesotho,Letsie III of Lesotho,
96,🇱🇷,Liberia,President of Liberia,George Weah,President of Liberia,George Weah,
97,🇱🇾,Libya,Prime Minister of Libya,Abdulhamid Dbeibeh,Chairman of the Presidential Council,Mohamed al-Menfi,
98,🇱🇮,Liechtenstein,Prime Minister of Liechtenstein,Daniel Risch,Prince of Lichtenstein,"Hans-Adam II, Prince of Liechtenstein",
99,🇱🇹,Lithuania,Prime Minister of Lithuania,Ingrida Šimonytė,President of the Republic of Lithuania,Gitanas Nausėda,
100,🇱🇺,Luxembourg,Prime Minister of Luxembourg,Xavier Bettel,Monarch of Luxembourg,"Henri, Grand Duke of Luxembourg",
101,🇲🇬,Madagascar,Prime Minister of Madagascar,Christian Ntsay,President of Madagascar,Andry Rajoelina,
102,🇲🇼,Malawi,President of Malawi,Lazarus Chakwera,President of Malawi,Lazarus Chakwera,
103,🇲🇾,Malaysia,Prime Minister of Malaysia,Anwar Ibrahim,Yang di-Pertuan Agong,Ibrahim Iskandar of Johor,
104,🇲🇻,Maldives,President of the Maldives,Mohamed Muizzu,President of the Maldives,Mohamed Muizzu,
105,🇲🇱,Mali,Prime Minister of Mali,Choguel Kokalla Maïga,President of Mali,Assimi Goïta,
106,🇲🇹,Malta,Prime Minister of Malta,Robert Abela,President of Malta,Myriam Spiteri Debono,
107,🇲🇷,Mauritania,Prime Minister of Mauritania,Mohamed Ould Bilal,President of Mauritania,Mohamed Ould Ghazouani,
108,🇲🇺,Mauritius,Prime Minister of Mauritius,Pravind Jugnauth,President of Mauritius,Prithvirajsing Roopun,
109,🇲🇽,Mexico,President of Mexico,Andrés Manuel López Obrador,President of Mexico,Andrés Manuel López Obrador,
110,🇲🇩,Moldova,Prime Minister of Moldova,Dorin Recean,President of Moldova,Maia Sandu,
111,🇲🇨,Monaco,Minister of State of Monaco,Didier Guillaume,Prince of Monaco,"Albert II, Prince of Monaco",
112,🇲🇳,Mongolia,Prime Minister of Mongolia,Oyunerdene Luvsannamsrai,President of Mongolia,Khurelsukh Ukhnaa,
113,🇲🇪,Montenegro,Prime Minister of Montenegro,Milojko Spajić,President of Montenegro,Jakov Milatović,
114,🇲🇦,Morocco,Prime Minister of Morocco,Aziz Akhannouch,King of Morocco,Mohammed VI of Morocco,
115,🇲🇿,Mozambique,Prime Minister of Mozambique,Adriano Maleiane,President of Mozambique,Filipe Nyusi,
116,🇲🇲,Myanmar,"State Administration Council
State Counsellor of Myanmar",Min Aung Hlaing,President of Myanmar,Myint Swe,
117,🇳🇦,Namibia,Prime Minister of the Republic of Namibia,Saara Kuugongelwa,President of the Republic of Namibia,Nangolo Mbumba,
118,🇳🇷,Nauru,President of Nauru,Russ J Kun,President of Nauru,David Adeang,
119,🇳🇵,Nepal,Prime Minister of Nepal,Pushpa Kamal Dahal,President of Nepal,Ram Chandra Poudel,
120,🇳🇱,Netherlands,Prime Minister of the Netherlands,Dick Schoof,King of the Netherlands,Willem-Alexander of the Netherlands,
121,🇳🇿,New Zealand,Prime Minister of New Zealand,Christopher Luxon,monarch of New Zealand,Charles III of the United Kingdom,
122,🇳🇮,Nicaragua,Revolucionario Nicaragüense,Daniel Ortega,Revolucionario Nicaragüense,Daniel Ortega,
123,🇳🇪,Niger,Prime Minister of Niger,Ali Lamine Zeine,President of Niger,Hassoumi Massoudou,
124,🇳🇬,Nigeria,President of Nigeria,Bola Tinubu,President of Nigeria,Bola Tinubu,
125,🇳🇺,Niue,Premier of Niue,Dalton Tagelagi,monarch of New Zealand,Charles III of the United Kingdom,
126,🇰🇵,North Korea,Premier of North Korea,Kim Jae-ryong,Supreme Leader of North Korea,Kim Jong-un,
127,🇲🇰,North Macedonia,Prime Minister of North Macedonia,Hristijan Mickoski,President of North Macedonia,Gordana Siljanovska-Davkova,
128,🇳🇴,Norway,Prime Minister of Norway,Jonas Gahr Støre,Monarch of Norway,Harald V of Norway,
129,🇴🇲,Oman,Sultan of Oman,Haitham bin Tarik Al Said,Sultan of Oman,Haitham bin Tarik Al Said,
130,🇵🇰,Pakistan,Prime Minister of Pakistan,Shehbaz Sharif,President of Pakistan,Asif Ali Zardari,
131,🇵🇼,Palau,,Surangel Whipps Jr.,President of Palau,Surangel Whipps Jr.,
132,🇵🇦,Panama,President of Panama,José Raúl Mulino,President of Panama,José Raúl Mulino,
133,🇵🇬,Papua New Guinea,Prime Minister of Papua New Guinea,James Marape,monarch of Papua New Guinea,Charles III of the United Kingdom,
134,🇵🇾,Paraguay,President of Paraguay,,President of Paraguay,Santiago Peña Palacios,
135,🇨🇳,People's Republic of China,Premier of the People's Republic of China,Li Qiang,President of the People's Republic of China,Xi Jinping,
136,🇵🇪,Peru,President of Peru,Dina Boluarte,President of Peru,Dina Boluarte,
137,🇵🇭,Philippines,President of the Philippines,Bongbong Marcos,President of the Philippines,Bongbong Marcos,
138,🇵🇱,Poland,Prime Minister of Poland,Donald Tusk,President of the Republic of Poland,Andrzej Duda,
139,🇵🇹,Portugal,Prime Minister of Portugal,António Costa,President of Portugal,Marcelo Rebelo de Sousa,
140,🇶🇦,Qatar,Prime Minister of Qatar,Mohammed bin Abdulrahman Al Thani,Emir of the State of Qatar,Tamim bin Hamad Al Thani,
141,🇨🇬,Republic of the Congo,Prime Minister of the Republic of the Congo,Clément Mouamba,President of the Republic of the Congo,Denis Sassou-Nguesso,
142,🇷🇴,Romania,Prime Minister of Romania,Marcel Ciolacu,president of Romania,Klaus Iohannis,
143,🇷🇺,Russia,Prime Minister of Russia,Mikhail Mishustin,President of Russia,Vladimir Putin,
144,🇷🇼,Rwanda,Prime Minister of Rwanda,Édouard Ngirente,President of Rwanda,Paul Kagame,
145,🇪🇭,Sahrawi Arab Democratic Republic,list of prime ministers of the Sahrawi Arab Democratic Republic,Bouchraya Hammoudi Bayoun,President of the Sahrawi Arab Democratic Republic,Brahim Ghali,
146,🇰🇳,Saint Kitts and Nevis,Prime Minister of St Kitts and Nevis,Terrance Drew,monarch of Saint Kitts and Nevis,Charles III of the United Kingdom,
147,🇱🇨,Saint Lucia,Prime Minister of Saint Lucia,Allen Chastanet,monarch of Saint Lucia,Charles III of the United Kingdom,
148,🇻🇨,Saint Vincent and the Grenadines,Prime Minister of Saint Vincent and the Grenadines,Ralph Gonsalves,monarch of Saint Vincent and the Grenadines,Charles III of the United Kingdom,
149,🇼🇸,Samoa,Prime Minister of Samoa,"Tuila'epa Sa'ilele Malielegaoi
Fiamē Naomi Mataʻafa",O le Ao o le Malo,Va'aletoa Sualauvi II,
150,🇸🇦,Saudi Arabia,Prime Minister of Saudi Arabia,Salman bin Abdulaziz Al Saud,King of Saudi Arabia,Salman bin Abdulaziz Al Saud,
151,🇸🇳,Senegal,President of Senegal,Bassirou Diomaye Diakhar Faye,President of Senegal,Bassirou Diomaye Diakhar Faye,
152,🇷🇸,Serbia,Prime Minister of Serbia,Miloš Vučević,President of Serbia,Alexander Vučić,
153,🇸🇨,Seychelles,President of Seychelles,Wavel Ramkalawan,President of Seychelles,Wavel Ramkalawan,
154,🇸🇱,Sierra Leone,Chief Minister of Sierra Leone,David Sengeh,President of Sierra Leone,Julius Maada Bio,
155,🇸🇬,Singapore,Prime Minister of Singapore,Lawrence Wong,President of Singapore,Tharman Shanmugaratnam,
156,🇸🇽,Sint Maarten,Prime Minister of Sint Maarten,Leona Marlin-Romeo,,"Willem-Alexander of the Netherlands
Eugene Holiday",
157,🇸🇰,Slovakia,Prime Minister of Slovakia,Robert Fico,President of Slovakia,Peter Pellegrini,
158,🇸🇮,Slovenia,Prime Minister of Slovenia,Robert Golob,President of Slovenia,Nataša Pirc Musar,
159,🇸🇧,Solomon Islands,Prime Minister of the Solomon Islands,Jeremiah Manele,monarch of the Solomon Islands,Charles III of the United Kingdom,
160,🇸🇴,Somalia,Prime Minister of Somalia,Mohamed Hussein Roble,President of Somalia,Hassan Sheikh Mohamud,
161,🇿🇦,South Africa,President of South Africa,Cyril Ramaphosa,President of South Africa,Cyril Ramaphosa,
162,🇰🇷,South Korea,President of South Korea,Yoon Suk Yeol,President of South Korea,Yoon Suk Yeol,
163,🇸🇸,South Sudan,President of South Sudan,Salva Kiir Mayardit,President of South Sudan,Salva Kiir Mayardit,
164,🇱🇰,Sri Lanka,President of Sri Lanka,Harini Amarasuriya,President of Sri Lanka,Anura Kumara Dissanayake,
165,🇵🇸,State of Palestine,Prime Minister of the State of Palestine,Mohammad Shtayyeh,president of the State of Palestine,"Mahmoud Abbas
Yasser Arafat",
166,🇸🇩,Sudan,Prime Minister of Sudan,Abdalla Hamdok,Chairman of the Transitional Military Council,Abdel Fattah al-Burhan,
167,🇸🇷,Suriname,President of Suriname,,President of Suriname,Chan Santokhi,
168,🇸🇪,Sweden,Prime Minister of Sweden,Ulf Kristersson,Monarch of Sweden,Carl XVI Gustaf of Sweden,
169,🇨🇭,Switzerland,President of the Swiss Confederation,Swiss Federal Council,Member of the Swiss Federal Council,Swiss Federal Council,
170,🇸🇾,Syria,Prime Minister of Syria,Hussein Arnous,President of Syrian Arab Republic,Bashar al-Assad,
171,🇸🇹,São Tomé and Príncipe,Prime Minister of São Tomé and Príncipe,Patrice Trovoada,President of São Tomé and Príncipe,Carlos Vila Nova,
172,🇹🇼,Taiwan,Premier of the Republic of China,Cho Jung-tai,President of the Republic of China,Lai Ching-te,
173,🇹🇯,Tajikistan,Prime Minister of Tajikistan,Kokhir Rasulzoda,president of Tajikistan,Emomali Rahmon,
174,🇹🇿,Tanzania,President of Tanzania,Samia Hassan Suluhu,President of Tanzania,Samia Hassan Suluhu,
175,🇹🇭,Thailand,Prime Minister of Thailand,Paetongtarn Shinawatra,King of Thailand,Vajiralongkorn,
176,🇧🇸,The Bahamas,Prime Minister of the Bahamas,Hubert Minnis,monarch of the Bahamas,Charles III of the United Kingdom,
177,🇬🇲,The Gambia,President of the Gambia,Adama Barrow,President of the Gambia,Adama Barrow,
178,🇹🇬,Togo,Prime Minister,Victoire Dogbé Tomegah,President of Togo,Faure Essozimna Gnassingbé,
179,🇹🇴,Tonga,Prime Minister of Tonga,Pohiva Tuʻiʻonetoa,Monarch of Tonga,Tupou VI of Tonga,
180,🇹🇹,Trinidad and Tobago,Prime Minister of Trinidad and Tobago,Keith Rowley,President of Trinidad and Tobago,Christine Kangaloo,
181,🇹🇳,Tunisia,Prime Minister of Tunisia,Ahmed Hachani,President of Tunisia,Kais Saied,
182,🇹🇷,Turkey,President of Turkey,Recep Tayyip Erdoğan,President of Turkey,Recep Tayyip Erdoğan,
183,🇹🇲,Turkmenistan,President of Turkmenistan,,President of Turkmenistan,Serdar Berdimuhamedow,
184,🇹🇻,Tuvalu,Prime Minister of Tuvalu,Feleti Teo,monarch of Tuvalu,Charles III of the United Kingdom,
185,🇺🇬,Uganda,Prime Minister of Uganda,Robinah Nabbanja,President of Uganda,Yoweri Museveni,
186,🇺🇦,Ukraine,Prime Minister of Ukraine,Denys Shmyhal,President of Ukraine,Volodymyr Zelenskyy,
187,🇦🇪,United Arab Emirates,Prime Minister of the United Arab Emirates,Mohammed bin Rashid Al Maktoum,President of the United Arab Emirates,"Mohammed bin Zayed Al Nahyan
Khalifa bin Zayed Al Nahyan
Zayed bin Sultan Al Nahyan",
188,🇬🇧,United Kingdom,Prime Minister of the United Kingdom,Keir Starmer,monarch of the United Kingdom,Charles III of the United Kingdom,
189,🇺🇸,United States of America,President of the United States,Joe Biden,President of the United States,Joe Biden,
190,🇺🇾,Uruguay,,Luis Lacalle Pou,President of Uruguay,Luis Lacalle Pou,
191,🇺🇿,Uzbekistan,Prime Minister of Uzbekistan,Abdulla Nigmatovich Aripov,President of Uzbekistan,Shavkat Mirziyoyev,
192,🇻🇺,Vanuatu,Prime Minister of Vanuatu,Bob Loughman,President of Vanuatu,Nikenike Vurobaravu,
193,🇻🇦,Vatican City,President of the Pontifical Commission for the Vatican City State,Fernando Vérgez Alzaga,pope,Pope Francis,
194,🇻🇪,Venezuela,President of Venezuela,Nicolás Maduro,President of Venezuela,"Nicolás Maduro
Juan Guaidó",
195,🇻🇳,Vietnam,Prime Minister of Vietnam,Phạm Minh Chính,President of Vietnam,Tô Lâm,
196,🇾🇪,Yemen,Prime Minister of Yemen,Maeen Abdulmalik Saeed,President of Yemen,Rashad al-Alimi,
197,🇿🇲,Zambia,President of Zambia,Edgar Lungu,President of Zambia,Hakainde Hichilema,
198,🇿🇼,Zimbabwe,President of Zimbabwa,Emmerson Mnangagwa,President of Zimbabwa,Emmerson Mnangagwa,
