Flag,Country,office held by head of government,head of government,office held by head of state,head of state,Wikipedia_Link
🇰🇲,Comoros,President of Comoros,Azali Assoumani,President of Comoros,Azali Assoumani,https://en.wikipedia.org/wiki/Azali_Assoumani
🇨🇰,Cook Islands,Prime Minister of the Cook Islands,Henry Puna,monarch of New Zealand,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Henry_Puna
🇨🇷,Costa Rica,President of Costa Rica,Rodrigo Chaves,President of Costa Rica,Rodrigo Chaves,https://en.wikipedia.org/wiki/Rodrigo_Chaves_Robles
🇭🇷,Croatia,Prime Minister of Croatia,Andrej Plenković,President of Croatia,Zoran Milanović,https://en.wikipedia.org/wiki/Andrej_Plenkovi%C4%87
🇨🇺,Cuba,Prime Minister of Cuba,Manuel Marrero Cruz,President of Cuba,Miguel Díaz-Canel,https://en.wikipedia.org/wiki/Manuel_Marrero_Cruz
🇨🇼,Curaçao,Prime Minister of Curaçao,"Ivar Asjes Gilmar Pisas",King of the Netherlands,Willem-Alexander of the Netherlands,
🇨🇾,Cyprus,President of Cyprus,Nicos Christodoulides,President of Cyprus,Nicos Christodoulides,https://en.wikipedia.org/wiki/Nikos_Christodoulides
🇨🇿,Czech Republic,Prime Minister of the Czech Republic,Petr Fiala,President of the Czech Republic,Petr Pavel,https://en.wikipedia.org/wiki/Petr_Fiala
🇨🇩,Democratic Republic of the Congo,Prime Minister of the Democratic Republic of the Congo,Ilunga Ilunkamba Sylvestre,President of the Democratic Republic of the Congo,Félix Tshisekedi,
🇩🇰,Denmark,Prime Minister of Denmark,Mette Frederiksen,monarch of Denmark,Frederik X of Denmark,https://en.wikipedia.org/wiki/Mette_Frederiksen
🇩🇯,Djibouti,Prime Minister of Djibouti,Abdoulkader Kamil Mohamed,President of Djibouti,Ismail Omar Guelleh,https://en.wikipedia.org/wiki/Abdoulkader_Kamil_Mohamed
🇩🇲,Dominica,Prime Minister of Dominica,Roosevelt Skerrit,president of Dominica,Charles Savarin,https://en.wikipedia.org/wiki/Roosevelt_Skerrit
🇩🇴,Dominican Republic,President of the Dominican Republic,Luis Abinader,President of the Dominican Republic,Luis Abinader,https://en.wikipedia.org/wiki/Luis_Abinader
🇹🇱,East Timor,Prime Minister of East Timor,Xanana Gusmão,President of East Timor,José Ramos-Horta,https://en.wikipedia.org/wiki/Xanana_Gusm%C3%A3o
🇪🇨,Ecuador,President of Ecuador,Daniel Noboa,President of Ecuador,Daniel Noboa,https://en.wikipedia.org/wiki/Daniel_Noboa
🇪🇬,Egypt,Prime Minister of Egypt,Abdel_Fattah_el-Sisi,President of Egypt,Abdel Fattah el-Sisi,https://en.wikipedia.org/wiki/Abdel_Fattah_el-Sisi
🇸🇻,El Salvador,President of El Salvador,Nayib Bukele,President of El Salvador,Nayib Bukele,https://en.wikipedia.org/wiki/Nayib_Bukele
🇸🇻,Eswatini, King, Mswati III, King, Mswati III, https://en.wikipedia.org/wiki/Mswati_III
🇬🇶,Equatorial Guinea,Prime Minister of Equatorial Guinea,Manuela Roka,President of Equatorial Guinea,Teodoro Obiang,
🇪🇷,Eritrea,President of Eritrea,Isaías Fortis,President of Eritrea,Isaías Fortis,
🇪🇪,Estonia,Prime Minister of Estonia,Kaja Kallas,President of Estonia,Alar Karis,https://en.wikipedia.org/wiki/Kaja_Kallas
🇪🇹,Ethiopia,Prime Minister of Ethiopia,Abiy Ahmed Ali,President of Ethiopia,Sahle-Work Zewde,https://en.wikipedia.org/wiki/Abiy_Ahmed
🇫🇲,Federated States of Micronesia,President of the Federated States of Micronesia,Wesley Simina,President of the Federated States of Micronesia,Wesley Simina,https://en.wikipedia.org/wiki/Wesley_Simina
🇫🇯,Fiji,Prime Minister of Fiji,Sitiveni Rabuka,President of Fiji,Wiliame Katonivere,https://en.wikipedia.org/wiki/Sitiveni_Rabuka
🇫🇮,Finland,Prime Minister of Finland,Petteri Orpo,President of Finland,Alexander Stubb,https://en.wikipedia.org/wiki/Petteri_Orpo
🇫🇷,France,Prime Minister of France,Emmanuel Macron,President of the French Republic,Emmanuel Macron,https://en.wikipedia.org/wiki/Emmanuel_Macron
🇬🇦,Gabon,Prime Minister of Gabon,Raymond Ndong Sima,President of Gabon,Ali Bongo Ondimba,https://en.wikipedia.org/wiki/Raymond_Ndong_Sima
🇬🇪,Georgia,Prime Minister of Georgia,Salome Zourabichvili,President of Georgia,Salome Zourabichvili,https://en.wikipedia.org/wiki/Salome_Zourabichvili
🇩🇪,Germany,Federal Chancellor of Germany,Olaf Scholz,president of Germany,Frank-Walter Steinmeier,https://en.wikipedia.org/wiki/Olaf_Scholz
🇬🇭,Ghana,President of Ghana,Nana Akufo-Addo,President of Ghana,Nana Akufo-Addo,https://en.wikipedia.org/wiki/Nana_Akufo-Addo
🇬🇷,Greece,Prime Minister of Greece,Kyriakos Mitsotakis,President of Greece,Katerina Sakellaropoulou,https://en.wikipedia.org/wiki/Kyriakos_Mitsotakis
🇬🇩,Grenada,Prime Minister of Grenada,Keith Mitchell,monarch of Grenada,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Keith_Mitchell
🇬🇹,Guatemala,President of the Republic of Guatemala,Bernardo Arévalo de León,President of the Republic of Guatemala,Bernardo Arévalo de León,
🇬🇳,Guinea,Prime Minister of Guinea,Bah Oury,President of Guinea,Mamady Doumbouya,https://en.wikipedia.org/wiki/Bah_Oury
🇬🇼,Guinea-Bissau,Prime Minister of Guinea-Bissau,Nuno Nabiam,President of Guinea-Bissau,Umaro Sissoco Embaló,
🇬🇾,Guyana,Prime Minister of Guyana,Mark Phillips,President of Guyana,Irfaan Ali,https://en.wikipedia.org/wiki/Mark_Phillips
🇭🇳,Honduras,President of Honduras,Xiomara Castro,President of Honduras,Xiomara Castro,https://en.wikipedia.org/wiki/Xiomara_Castro
🇭🇺,Hungary,Prime Minister of Hungary,Viktor Orbán,President of Hungary,Tamás Sulyok,https://en.wikipedia.org/wiki/Viktor_Orb%C3%A1n
