product_id,actual_price,rating,category_Car&Motorbike,category_Computers&Accessories,category_Electronics,category_Health&PersonalCare,category_Home&Kitchen,category_HomeImprovement,category_MusicalInstruments,category_OfficeProducts,category_Toys&Games
B002PD61Y4,1208.0,4.1,False,True,False,False,False,False,False,False,False
B014I8SSD0,475.0,4.4,False,False,True,False,False,False,False,False,False
B09L8DSSFH,999.0,3.6,False,False,True,False,False,False,False,False,False
B07232M876,395.0,4.2,False,True,False,False,False,False,False,False,False
B07P681N66,2199.0,4.4,False,True,False,False,False,False,False,False,False
B0711PVX6Z,500.0,4.2,False,True,False,False,False,False,False,False,False
B082T6V3DT,2100.0,4.3,False,True,False,False,False,False,False,False,False
B07MKFNHKG,12999.0,4.2,False,False,True,False,False,False,False,False,False
B0BFWGBX61,349.0,4.1,False,True,False,False,False,False,False,False,False
B01N90RZ4M,499.0,3.7,False,False,True,False,False,False,False,False,False
B0088TKTY2,1399.0,4.2,False,True,False,False,False,False,False,False,False
B09Q5SWVBJ,21999.0,4.2,False,False,True,False,False,False,False,False,False
B0B4DT8MKT,1499.0,4.2,False,True,False,False,False,False,False,False,False
B08CDKQ8T6,349.0,4.3,False,True,False,False,False,False,False,False,False
B07B275VN9,799.0,3.7,False,False,True,False,False,False,False,False,False
B0B15CPR37,47900.0,4.3,False,False,True,False,False,False,False,False,False
B0994GFWBH,999.0,4.0,False,True,False,False,False,False,False,False,False
B01GGKZ0V6,845.0,4.2,False,True,False,False,False,False,False,False,False
B09F9YQQ7B,24999.0,4.2,False,False,True,False,False,False,False,False,False
B014I8SX4Y,1400.0,4.4,False,False,True,False,False,False,False,False,False
B09Q8HMKZX,699.0,4.1,False,True,False,False,False,False,False,False,False
B0B9XN9S3W,14990.0,4.3,False,False,True,False,False,False,False,False,False
B07966M8XH,2999.0,4.2,False,False,True,False,False,False,False,False,False
B01GGKYKQM,700.0,4.3,False,True,False,False,False,False,False,False,False
B0B86CDHL1,899.0,4.5,False,True,False,False,False,False,False,False,False
B0B5ZF3NRK,599.0,4.1,False,True,False,False,False,False,False,False,False
B09RFC46VP,42999.0,4.2,False,False,True,False,False,False,False,False,False
B08R69VDHT,499.0,4.0,False,True,False,False,False,False,False,False,False
B09RWZRCP1,999.0,4.1,False,True,False,False,False,False,False,False,False
B09CMP1SC8,499.0,4.1,False,True,False,False,False,False,False,False,False
B09YLXYP7Y,399.0,4.0,False,True,False,False,False,False,False,False,False
B09ZPM4C2C,30990.0,4.1,False,False,True,False,False,False,False,False,False
B0B2DJDCPX,499.0,3.9,False,True,False,False,False,False,False,False,False
B0BCZCQTJX,3999.0,4.0,False,False,True,False,False,False,False,False,False
B07LGT55SJ,1099.0,4.2,False,True,False,False,False,False,False,False,False
B09NKZXMWJ,249.0,4.0,False,True,False,False,False,False,False,False,False
B08QX1CC14,19125.0,3.4,False,False,True,False,False,False,False,False,False
B0974H97TJ,799.0,4.4,False,True,False,False,False,False,False,False,False
B07GVGTSLN,1299.0,4.2,False,True,False,False,False,False,False,False,False
B09VCHLSJF,39999.0,4.2,False,False,True,False,False,False,False,False,False
