County,Census Tract Number,Life Expectancy
"Baltimore city, MD",2003.0,72.1
"Baltimore city, MD",2004.0,66.7
"Baltimore city, MD",2005.0,67.4
"Baltimore city, MD",2006.0,69.2
"Baltimore city, MD",2007.01,70.8
"Baltimore city, MD",2008.0,71.3
"Baltimore city, MD",2101.0,74.3
"Baltimore city, MD",2102.0,67.9
"Baltimore city, MD",2201.0,80.1
"Baltimore city, MD",2301.0,69.9
"Baltimore city, MD",2302.0,72.5
"Baltimore city, MD",2303.0,72.4
"Baltimore city, MD",2401.0,78.7
"Baltimore city, MD",2402.0,86.0
"Baltimore city, MD",2403.0,80.7
"Baltimore city, MD",2404.0,76.3
"Baltimore city, MD",2501.01,74.7
"Baltimore city, MD",2501.02,75.9
"Baltimore city, MD",2501.03,74.0
"Baltimore city, MD",2502.03,71.2
"Baltimore city, MD",2502.04,65.6
"Baltimore city, MD",2502.05,71.2
"Baltimore city, MD",2502.06,74.3
"Baltimore city, MD",2502.07,73.5
"Baltimore city, MD",2503.01,69.3
"Baltimore city, MD",2503.03,72.1
"Baltimore city, MD",2504.01,68.1
"Baltimore city, MD",2504.02,70.0
"Baltimore city, MD",2601.01,74.2
"Baltimore city, MD",2601.02,72.7
"Baltimore city, MD",2602.01,72.7
"Baltimore city, MD",2602.02,69.5
"Baltimore city, MD",2602.03,69.4
"Baltimore city, MD",2603.01,69.8
"Baltimore city, MD",2603.02,72.6
"Baltimore city, MD",2604.01,70.7
"Baltimore city, MD",2604.02,73.1
"Baltimore city, MD",2604.03,72.7
"Baltimore city, MD",2605.01,76.9
"Baltimore city, MD",2606.04,65.0
"Baltimore city, MD",2606.05,72.3
"Baltimore city, MD",2607.0,73.2
"Baltimore city, MD",2608.0,70.4
"Baltimore city, MD",2609.0,78.7
"Baltimore city, MD",2610.0,71.2
"Baltimore city, MD",2611.0,75.4
"Baltimore city, MD",2701.01,76.9
"Baltimore city, MD",2701.02,74.3
"Baltimore city, MD",2702.0,80.0
"Baltimore city, MD",2703.01,77.2
"Baltimore city, MD",2703.02,75.7
"Baltimore city, MD",2704.01,73.5
"Baltimore city, MD",2704.02,74.9
"Baltimore city, MD",2705.01,76.7
"Baltimore city, MD",2705.02,74.3
"Baltimore city, MD",2706.0,75.0
"Baltimore city, MD",2707.01,72.2
"Baltimore city, MD",2707.02,73.1
"Baltimore city, MD",2707.03,76.1
"Baltimore city, MD",2708.01,77.0
"Baltimore city, MD",2708.02,75.7
"Baltimore city, MD",2708.03,76.0
"Baltimore city, MD",2708.04,77.7
"Baltimore city, MD",2708.05,72.5
"Baltimore city, MD",2709.01,72.9
"Baltimore city, MD",2709.02,76.3
"Baltimore city, MD",2709.03,74.5
"Baltimore city, MD",2710.01,72.5
"Baltimore city, MD",2710.02,74.5
"Baltimore city, MD",2711.01,79.4
"Baltimore city, MD",2711.02,80.5
"Baltimore city, MD",2712.0,80.8
"Baltimore city, MD",2713.0,82.2
"Baltimore city, MD",2714.0,84.3
"Baltimore city, MD",2715.01,81.3
"Baltimore city, MD",2715.03,80.1
"Baltimore city, MD",2716.0,73.8
"Baltimore city, MD",2717.0,67.7
"Baltimore city, MD",2718.01,69.3
"Baltimore city, MD",2718.02,71.6
"Baltimore city, MD",2719.0,77.6
"Baltimore city, MD",2720.03,81.4
"Baltimore city, MD",2720.04,87.3
"Baltimore city, MD",2720.05,82.9
"Baltimore city, MD",2720.06,80.4
"Baltimore city, MD",2720.07,78.5
"Baltimore city, MD",2801.01,78.6
"Baltimore city, MD",2801.02,75.7
"Baltimore city, MD",2802.0,78.7
"Baltimore city, MD",2803.01,71.8
"Baltimore city, MD",2803.02,75.3
"Baltimore city, MD",2804.01,74.4
"Baltimore city, MD",2804.02,75.9
"Baltimore city, MD",2804.03,76.7
"Baltimore city, MD",2804.04,68.4
"Baltimore city, MD",2805.0,67.0
